---------------DATE-------------------Username---------------PAGE------------------IP Address-----
----[21/January/2016 05:04:44]-------user_rac----------/PII-FIX/index.php----------::1
----[21/January/2016 05:05:12]-------head_it----------/PII-FIX/index.php----------::1
----[21/January/2016 05:08:39]-------head_it----------/PII-FIX/index.php----------::1
----[21/January/2016 05:09:26]-------head_hr----------/PII-FIX/index.php----------::1
----[21/January/2016 09:41:22]-------user_it----------/PII-FIX/index.php----------::1
----[21/January/2016 09:41:56]-------user_rac----------/PII-FIX/index.php----------::1
----[21/January/2016 09:46:28]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 09:26:25]-------user_rac----------/PII-FIX/index.php----------::1
----[22/January/2016 01:51:09]-------head_it----------/PII-FIX/index.php----------::1
----[22/January/2016 02:07:36]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 02:20:40]-------head_it----------/PII-FIX/index.php----------::1
----[22/January/2016 02:48:09]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 02:54:08]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 03:00:44]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 03:27:02]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 03:27:38]-------user_rac----------/PII-FIX/index.php----------::1
----[22/January/2016 03:31:24]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 03:36:48]-------user_rac----------/PII-FIX/index.php----------::1
----[22/January/2016 03:38:04]-------user_it----------/PII-FIX/index.php----------::1
----[22/January/2016 03:56:14]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 03:57:01]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 04:11:34]-------user_it----------/PII-FIX/index.php----------::1
----[22/January/2016 04:19:26]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 04:24:30]-------head_it----------/PII-FIX/index.php----------::1
----[22/January/2016 04:49:29]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 04:59:01]-------user_it----------/PII-FIX/index.php----------::1
----[22/January/2016 05:03:05]-------user_it----------/PII-FIX/index.php----------::1
----[22/January/2016 05:05:05]-------user_rac----------/PII-FIX/index.php----------::1
